搬,bān,to copy indiscriminately; to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift
难过,nánguò,(of life) to be difficult; to feel sad; to feel unwell
电梯,diàntī,elevator; escalator
差,chà,different; not up to standard; inferior; to fall short; to lack; wrong; mistaken
差,chā,(literary) a little; somewhat; slightly; (math.) difference (amount remaining after a subtraction); difference; discrepancy
差,chāi,(archaic) person sent on such an errand; job; official post; to send (on an errand)
回答,huídá,reply; answer; to reply; to answer
地图,dìtú,map
绿,lü,(slang) (derived from 綠帽子|绿帽子[lu:4 mao4 zi5]) to cheat on (one's spouse or boyfriend or girlfriend); green
礼物,lǐwù,gift; present
起飞,qǐfēi,(of an aircraft) to take off
腿,tuǐ,hip bone
腿,tuǐ,leg
张,zhāng,classifier for flat objects, sheet; classifier for votes; sheet of paper; to open up; to spread
当然,dāngrán,as it should be; certainly; of course; only natural; without doubt
黑板,hēibǎn,blackboard
一边,yībiān,doing while; either side; on the one hand; on the other hand; one side
或者,huòzhě,or; possibly; maybe; perhaps
换,huàn,to change (clothes etc); to convert (currency); to exchange; to substitute; to switch
需要,xūyào,needs; to need; to want; to demand; to require
地,de,-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
地,dì,earth; field; ground; land; place
才,cái,(before an expression of quantity) only; a capable individual; ability; talent; just now; sb of a certain type; then and only then
习惯,xíguàn,custom; habit; to be used to; usual practice
南,nán,south
容易,róngyì,easy; straightforward; likely; liable to; apt to
啤酒,píjiǔ,beer (loanword)
为,wéi,as (in the capacity of); by (in the passive voice); to act as; to be; to become; to behave as; to do; to serve as; to take sth as
为,wèi,because of; for; to
除了,chúle,apart from (... also...); besides; except (for); in addition to
健康,jiànkāng,health; healthy
方便,fāngbiàn,(euphemism) to relieve oneself; convenient; having money to spare; suitable; to facilitate; to make things easy
自己,zìjǐ,one's own; oneself
放,fàng,to free; to let go; to let out; to place; to put; to release; to set off (fireworks)
年轻,niánqīng,young
越,Yuè,generic word for peoples or states of south China or south Asia at different historical periods
越,yuè,the more... the more; to climb over; to exceed; to surpass
灯,dēng,lamp; lantern; light
参加,cānjiā,to join; to participate; to take part
一定,yīdìng,a certain (extent etc); certainly; fixed; given; must; necessarily; particular; surely
